"","SRR6078283.bam","SRR6078284.bam","SRR6078285.bam","SRR6078300.bam","SRR6078301.bam","SRR6078302.bam"
"IL10RA",0,0,0,0,0,0
"SMIM35",0,0,0,0,0,0
"TMPRSS4",0,0,0,0,0,0
"LOC105369517",0,0,0,0,0,0
"SCN4B",0,0,0,0,0,2
"SCN2B",0,0,0,1,0,2
"JAML",0,0,0,0,0,0
"MPZL3",3,3,1,11,7,10
"MPZL2",1,0,0,0,1,0
"CD3E",0,0,0,0,0,0
"CD3D",0,0,0,0,0,0
"CD3G",0,0,0,0,0,0
"UBE4A",2353,2027,2100,2306,2767,2574
"LOC100131626",2,2,1,2,2,2
"ATP5MG",1260,1142,1975,1212,1326,1515
"KMT2A",1530,854,870,1602,2021,1685
"LOC101929089",6,1,6,4,2,10
"TTC36",4,6,3,3,5,5
"TMEM25",203,187,246,84,240,128
"IFT46",573,395,598,496,738,699
"ARCN1",3762,4026,4188,5054,6367,4215
"PHLDB1",2899,3926,2401,2395,3245,2847
"MIR6716",0,1,0,0,0,1
"TREH",18,39,8,10,19,35
"LOC105369519",1,0,0,0,0,0
"DDX6",4477,5685,5307,5273,6297,5615
"CXCR5",2,5,2,2,4,1
"BCL9L",463,449,303,997,1199,837
"MIR4492",0,0,0,0,0,0
"UPK2",0,0,1,0,0,0
"FOXR1",0,0,0,2,0,0
"LOC107984396",10,15,9,15,25,33
"CCDC84",179,157,123,184,265,272
"RPL23AP64",38,35,28,51,67,74
"RPS25",3248,2954,4716,2541,2823,5570
"TRAPPC4",801,1025,721,633,736,618
"SLC37A4",200,86,181,141,162,268
"HYOU1",2319,5206,2642,5315,5096,4243
"VPS11",859,675,916,884,883,1011
"HMBS",276,483,343,215,245,256
"H2AFX",263,369,416,1055,1192,523
"DPAGT1",348,263,320,516,491,504
"LOC107984397",7,2,5,6,8,7
"C2CD2L",118,84,117,223,208,188
"HINFP",276,208,280,216,272,331
"ABCG4",0,1,3,3,5,3
"NLRX1",621,684,749,589,798,713
"PDZD3",2,1,1,0,0,0
"CCDC153",18,9,9,3,6,7
"SNORD150",0,0,0,0,0,1
"CBL",504,422,401,648,875,597
"MCAM",156,2124,180,862,1496,109
"MIR6756",0,1,0,0,1,0
"RNF26",260,148,193,543,780,308
"C1QTNF5",0,0,0,0,0,0
"MFRP",0,0,0,0,0,0
"USP2",12,9,15,13,18,32
"USP2-AS1",0,2,3,2,1,7
"THY1",10384,6267,12376,14970,17262,10045
"LOC107984398",3,0,2,1,1,0
"LOC105369520",0,0,0,0,0,0
"NECTIN1",86,41,44,128,182,145
"LOC105369525",0,0,0,0,0,1
"LOC102724301",3,2,1,1,5,12
"LOC105369526",0,0,0,0,0,0
"LOC105369528",0,0,0,0,0,0
"LOC105369527",1,0,0,0,0,0
"LOC105378956",0,0,0,0,0,0
"TRIM29",2,0,0,3,12,6
"LOC105369529",0,0,0,1,1,1
"LOC107984399",0,0,0,0,0,0
"LOC105369530",0,0,0,0,0,1
"OAF",532,172,436,624,891,1531
"POU2F3",1,1,1,2,5,3
"LOC649133",0,0,0,0,0,0
"LOC105369531",0,0,0,0,0,0
"TMEM136",236,207,266,169,272,294
"ARHGEF12",6925,7812,5851,6294,7054,8386
"GRIK4",1,17,3,1,4,2
"LOC107984400",0,4,0,0,1,0
"LOC105369532",0,0,0,0,0,0
"LOC101929227",0,0,0,0,1,0
"LOC101929208",0,0,0,0,0,0
"TBCEL",952,1188,995,1009,1103,1260
"TECTA",20,18,14,24,23,27
"LOC105369533",0,0,0,0,0,0
"LOC105369534",0,0,0,0,0,0
"SC5D",883,786,846,760,875,1283
"LOC105369536",0,0,0,0,1,1
"SORL1",37,15,33,16,17,33
"LOC105369535",0,0,0,1,0,0
"LOC107984402",1,0,3,1,2,3
"MIR100HG",5089,5126,5192,3308,3325,3317
"MIR125B1",15,11,17,4,7,22
"BLID",15,23,7,17,4,8
"MIRLET7A2",5,7,0,3,3,6
"MIR100",0,0,1,1,3,3
"TRK-TTT2-1",0,0,0,0,0,0
"UBASH3B",585,490,462,879,917,356
"CRTAM",0,1,0,0,1,1
"JHY",206,172,228,239,205,396
"BSX",0,0,0,0,0,0
"LOC341056",13,17,32,27,22,30
"HSPA8",25303,36482,34887,20155,22513,27965
"SNORD14E",4,8,8,14,13,14
"SNORD14D",7,7,11,11,11,30
"SNORD14C",7,12,15,13,9,18
"LOC101929289",6,6,8,4,6,13
"CLMP",7006,3305,5622,11859,7944,7551
"LOC105369540",0,0,0,0,0,0
"LOC105369539",0,0,0,0,0,0
"LOC105369541",0,0,0,0,0,0
"GRAMD1B",365,413,406,1005,813,622
"MIR4493",0,0,0,0,0,0
"SCN3B",4,4,3,7,4,9
"LOC105369543",0,0,0,0,0,0
"ZNF202",306,395,285,190,281,416
"OR6X1",0,0,0,0,0,0
"LOC105369544",0,0,0,0,0,0
"OR6M1",0,0,0,0,0,0
"TMEM225",0,0,0,0,0,0
"OR8D4",0,0,0,0,0,0
"OR4D5",1,0,0,0,0,0
"OR6T1",0,0,0,0,0,0
"OR10S1",0,0,0,0,0,0
"OR10G6",0,0,0,0,0,0
"OR10G4",0,0,0,0,0,0
"OR10G9",0,0,0,0,0,0
"OR10G8",0,0,0,0,0,0
"OR10G7",0,0,0,0,0,0
"LOC107984403",0,0,0,0,0,0
"LOC105369545",0,0,0,0,0,0
"VWA5A",270,62,316,88,289,425
"OR10D3",0,0,0,0,0,0
"LOC102724410",0,0,0,0,0,0
"OR8G2P",0,0,0,0,0,0
"LOC112267863",0,0,1,0,0,0
"OR8G1",0,0,0,0,0,0
"OR8G5",0,0,0,0,0,0
"OR8D1",0,0,0,0,0,0
"LOC112268069",0,0,0,0,0,0
"OR8D2",0,0,0,0,0,0
"OR8B2",0,0,0,0,0,0
"OR8B3",0,0,0,0,0,0
"LOC107984404",0,0,0,0,0,0
"OR8B4",0,0,0,0,0,0
"OR8B8",0,0,0,0,0,0
"OR8B12",0,0,0,0,0,0
"OR8A1",0,0,0,0,0,0
"PANX3",0,0,0,0,1,0
"TBRG1",1512,1546,1628,1292,1508,2099
"SIAE",741,591,709,472,568,1233
"SPA17",75,71,52,108,147,87
"LOC107984405",0,0,0,1,0,0
"NRGN",0,1,0,4,4,1
"VSIG2",1,0,0,0,0,0
"ESAM",3,1,1,4,2,4
"LOC101929340",3,1,2,2,2,4
"MSANTD2",432,447,335,335,531,580
"LOC100507283",9,3,6,7,11,10
"ROBO3",164,87,168,101,131,353
"ROBO4",4,3,3,5,10,17
"LOC107984406",3,0,1,0,0,0
"HEPACAM",2,0,0,0,0,1
"HEPN1",0,0,0,0,0,0
"LOC105369547",3,1,4,11,6,2
"CCDC15",43,51,36,211,213,84
"SLC37A2",25,3,2,19,38,13
"TMEM218",186,237,260,235,278,274
"PKNOX2",4,12,6,0,15,6
"PKNOX2-AS1",0,0,0,0,0,0
"LOC105369549",0,1,0,0,1,0
"FEZ1",663,585,751,549,872,1184
"LOC403312",3,2,2,2,2,4
"STT3A-AS1",3,2,1,5,8,12
"EI24",1402,1206,1722,1808,2235,2047
"STT3A",3981,4505,5031,5376,6809,5843
"CHEK1",342,455,405,552,780,435
"ACRV1",2,5,2,5,7,2
"LOC105369551",0,1,0,0,1,0
"PATE1",1,0,0,0,2,0
"PATE2",2,0,0,0,1,1
"PATE3",0,1,0,3,0,0
"LOC105369552",1,0,0,1,5,0
"PATE4",1,2,0,4,2,0
"HYLS1",223,158,177,466,482,199
"PUS3",195,218,280,193,210,261
"DDX25",0,2,0,2,1,0
"LOC105369554",0,0,0,0,0,0
"VSIG10L2",5,1,0,2,4,27
"CDON",1980,399,1004,1546,1386,3413
"LOC107984407",0,0,0,0,0,0
"LOC105369591",21,2,16,8,10,42
"RPUSD4",599,545,701,391,502,567
"FAM118B",354,306,366,399,381,471
"SRPRA",973,1503,1230,1746,1844,1364
"FOXRED1",235,309,280,323,479,348
"TIRAP",84,57,86,75,95,79
"HP11014",18,17,26,16,18,22
"DCPS",206,332,249,367,480,456
"GSEC",20,16,36,22,32,31
"ST3GAL4",387,394,433,565,587,420
"KIRREL3",634,526,348,266,360,87
"LOC101929427",3,3,1,1,4,0
"LOC105369561",39,27,12,21,18,12
"LOC105369559",93,109,38,43,64,13
"KIRREL3-AS2",17,17,7,5,7,3
"MIR3167",0,0,0,1,1,1
"LOC105369558",76,73,31,70,54,9
"KIRREL3-AS3",1,1,0,1,1,0
"LOC101929473",0,0,0,0,0,0
"LOC105369562",0,0,0,0,0,0
"LOC107984379",0,0,0,0,0,0
"LOC101929497",0,0,0,0,0,0
"LOC107984373",0,0,0,0,0,0
"LOC107984374",0,0,0,0,0,0
"LOC105369563",0,0,0,0,2,0
"LINC02098",0,0,0,0,0,0
"LOC107984408",0,0,0,0,0,0
"ETS1",1613,3284,2157,2737,2937,1718
"MIR6090",0,0,0,0,0,0
"ETS1-AS1",0,0,0,0,0,0
"LOC105369565",0,0,0,0,0,0
"LOC105369568",0,1,0,1,4,0
"LOC101929538",0,0,0,0,0,0
"FLI1",179,237,205,191,308,176
"SENCR",4,4,2,6,17,6
"KCNJ1",2,0,1,0,0,3
"LOC107984409",0,0,1,1,0,1
"KCNJ5",1,0,3,0,1,4
"C11orf45",41,25,95,66,57,70
"TP53AIP1",1,1,1,1,2,0
"ARHGAP32",444,277,312,426,494,512
"LOC399975",22,39,31,48,56,40
"LOC105369571",0,0,0,0,0,0
"LOC105369572",0,0,0,0,0,0
"BARX2",0,0,0,0,0,0
"LOC107984410",0,0,0,0,0,0
"LINC01395",0,0,0,0,0,0
"TMEM45B",0,4,2,0,1,6
"NFRKB",662,574,516,525,706,891
"PRDM10",273,225,284,352,321,451
"LINC00167",2,4,5,15,14,8
"LOC107984432",2,1,2,0,2,0
"APLP2",15696,39555,36096,31044,32629,40920
"ST14",1,0,0,3,4,2
"ZBTB44",1488,859,1428,966,1195,1916
"LOC646383",0,1,0,1,0,5
"ADAMTS8",21,2,2,6,17,122
"ADAMTS15",160,223,19,2,62,309
"LOC105369574",8,5,1,1,2,4
"MIR8052",0,0,0,0,0,0
"C11orf44",4,1,0,1,0,0
"LOC105369575",11,3,3,0,2,8
"LOC105369576",0,0,0,0,0,0
"LINC02551",2,2,0,3,1,0
"LOC103611081",0,0,0,0,0,0
"SNX19",2588,1807,2449,2611,3077,3021
"LOC105369577",0,0,0,0,0,0
"LOC107984411",0,0,0,0,0,0
"LOC105369579",0,0,0,0,0,0
"LOC105369578",0,0,0,0,1,0
"LOC107984412",0,0,0,0,0,0
"NTM",282,192,159,778,866,139
"LOC101929653",0,0,2,0,1,0
"NTM-AS1",0,0,1,0,0,0
"LOC107984413",0,2,2,3,6,3
"NTM-IT",1,0,0,0,1,0
"OPCML",19,34,37,350,249,69
"LOC105369580",0,0,0,0,0,0
"LOC646522",0,0,0,0,0,0
"SPATA19",0,0,0,0,0,0
"MIR4697HG",1,1,10,0,4,9
"MIR4697",0,0,0,0,0,0
"IGSF9B",0,3,8,3,3,9
"LOC107984414",0,0,0,0,0,0
"LOC100128239",15,13,30,6,10,23
"JAM3",2004,2216,2577,3109,2972,3521
"LOC107984040",1,1,3,1,1,2
"SNORD153",0,0,0,0,0,0
"NCAPD3",445,598,334,834,1066,684
"VPS26B",1221,922,1134,1094,1397,1459
"THYN1",427,349,473,197,342,343
"ACAD8",425,379,372,360,439,474
"GLB1L3",0,0,0,1,0,1
"GLB1L2",0,0,0,3,3,1
"B3GAT1",1,0,0,0,0,0
"LOC283177",0,0,0,0,0,0
"LOC105369583",0,0,0,0,0,0
"LOC105369584",0,0,0,0,0,0
"LOC729305",0,0,0,0,0,5
"LOC105369586",0,1,0,3,8,0
"LOC100507548",0,0,0,0,0,0
"LOC105369588",1,1,0,1,0,0
"LOC105369587",0,0,0,0,0,0
"LOC105369589",0,0,0,0,0,0
"LOC107987373",7,9,32,32,7,369
"LOC107987374",0,0,0,0,0,0
"LOC107987375",0,0,0,0,0,0
"LOC112267876",0,0,0,0,0,0
"LOC102724852",0,1,0,1,0,19
"WASH8P",159,93,179,178,148,523
"LOC107987170",0,0,0,0,0,0
"FAM138D",0,0,0,0,0,0
"IQSEC3",1,0,0,0,4,1
"LOC105369593",0,0,0,0,0,0
"LOC574538",0,0,0,0,0,0
"LOC105369592",0,0,0,0,0,0
"SLC6A12",0,0,0,1,1,0
"LOC101929384",0,0,0,0,0,0
"SLC6A13",0,0,0,3,0,1
"LOC102723544",0,0,0,0,0,0
"KDM5A",2346,2840,2135,2181,2606,2712
"CCDC77",131,134,145,493,481,207
"LOC105369594",2,0,2,2,5,1
"B4GALNT3",0,1,1,52,28,1
"NINJ2",54,19,34,34,45,103
"LOC105369595",1,0,0,0,0,0
"LOC100049716",130,38,79,47,75,181
"LINC02455",0,0,0,0,0,0
"LOC101929432",1,0,1,0,0,0
"WNK1",3305,2602,2116,4290,4879,4052
"RAD52",411,251,405,266,321,409
"ERC1",1351,1697,906,1889,1624,1524
"LOC107987182",2,11,6,8,6,7
"LINC00942",2,11,11,9,23,32
"LOC107984507",19,24,22,79,95,49
"WNT5B",1035,2022,1696,5413,4669,2162
"FBXL14",156,109,153,227,203,247
"MIR3649",0,2,0,6,0,1
"ADIPOR2",1462,1454,1439,1364,1390,1535
"CACNA2D4",42,22,41,10,18,41
"LOC105369602",1,1,0,0,0,0
"LOC105369601",0,0,0,0,0,0
"LRTM2",0,0,0,0,0,0
"LOC112268103",0,0,0,0,0,0
"LINC00940",1,1,0,0,0,0
"DCP1B",239,94,200,231,287,254
"CACNA1C",1123,951,1059,1295,1334,1364
"CACNA1C-IT1",1,0,0,0,2,4
"CACNA1C-IT2",0,0,0,0,2,0
"LOC107984131",148,139,95,177,153,192
"CACNA1C-AS4",21,27,11,14,30,25
"CACNA1C-IT3",14,19,10,16,13,21
"CACNA1C-AS2",3,3,4,3,0,5
"CACNA1C-AS1",7,8,7,4,8,10
"LINC02371",7,0,2,0,3,2
"ITFG2-AS1",4,2,4,2,3,6
"FKBP4",707,782,759,763,712,851
"ITFG2",286,115,231,300,429,354
"NRIP2",20,9,22,18,26,44
"TEX52",3,0,1,0,2,5
"FOXM1",383,169,270,1103,1851,423
"RHNO1",411,376,435,586,781,465
"TULP3",958,632,989,1126,1466,1113
"TEAD4",138,234,182,176,239,137
"TSPAN9",519,652,950,545,1319,715
"LOC105369606",3,2,7,1,3,4
"LOC100128253",0,0,1,1,3,3
"LINC02417",0,0,0,0,0,0
"PRMT8",0,0,0,0,0,4
"LOC105369607",0,0,0,0,0,1
"THCAT155",0,0,0,0,0,0
"CRACR2A",93,180,218,266,142,339
"LOC107984495",2,0,8,5,3,7
"PARP11",124,117,147,105,177,188
"LOC105369609",6,3,4,2,7,8
"LOC105369608",0,0,0,0,0,0
"LOC105369611",0,0,0,0,0,0
"LOC105369612",0,0,0,0,0,0
"CCND2-AS1",5,1,1,2,5,7
"CCND2",273,130,137,167,426,647
"TIGAR",402,529,416,468,662,565
"FGF23",0,0,0,0,0,0
"FGF6",0,0,0,0,0,0
"C12orf4",517,920,605,589,737,809
"RAD51AP1",87,118,68,350,480,142
"DYRK4",217,368,349,290,439,281
"AKAP3",1,6,5,17,14,12
"NDUFA9",848,1065,1133,998,1180,1057
"GAU1",0,0,1,0,0,2
"GALNT8",2,0,1,2,0,0
"LOC105369614",0,0,0,0,0,0
"KCNA6",0,0,0,0,0,0
"KCNA1",0,5,0,0,0,5
"LOC100507560",0,0,0,0,0,0
"KCNA5",0,0,0,0,0,0
"LOC105369617",0,1,0,0,7,0
"LOC105369616",0,1,0,0,7,0
"LINC02443",0,0,0,0,0,0
"LOC105369618",1,1,2,3,7,0
"NTF3",151,251,347,166,287,72
"ANO2",1,8,6,6,3,2
"LOC105369621",0,0,0,0,0,0
"VWF",37,8,25,21,14,35
"SNORA120",0,0,0,0,0,0
"LOC105369623",0,0,1,1,0,0
"LOC105369622",0,1,0,0,0,0
"CD9",1048,480,1288,670,635,581
"LOC105369625",0,0,0,0,0,0
"LOC105369624",0,0,0,1,0,0
"PLEKHG6",49,30,24,25,52,51
"TNFRSF1A",2510,1539,2486,2430,3030,3275
"LOC112268088",0,0,0,1,0,0
"SCNN1A",6,2,16,8,10,12
"LOC107984500",0,0,0,0,0,0
"LOC105369626",1,1,1,0,1,2
"LTBR",2560,1700,2339,3041,2427,4452
"CD27-AS1",340,473,414,162,227,404
"CD27",10,10,11,4,8,23
"TAPBPL",313,199,293,174,222,378
"VAMP1",226,106,149,245,219,317
"MRPL51",1123,1254,1479,1228,1683,1121
"NCAPD2",1117,937,938,2132,3382,1214
"SCARNA10",2716,1210,4445,1349,2061,2430
"LOC112268089",11,7,8,14,12,18
"GAPDH",52496,54969,57445,61766,67331,40659
"IFFO1",1177,655,1274,941,831,1788
"NOP2",448,948,538,477,652,742
"CHD4",6245,7115,4556,5670,7377,7035
"SCARNA11",0,0,2,1,2,1
"LOC105369631",0,0,0,0,0,0
"LPAR5",0,0,0,0,3,0
"ACRBP",3,0,1,3,2,9
"ING4",606,405,830,359,455,620
"ZNF384",482,268,382,485,641,542
"PIANP",22,7,14,10,18,21
"COPS7A",1351,1467,1661,2063,2221,1541
"MLF2",1316,1170,1414,1546,1755,1319
"PTMS",1332,1000,1183,1096,1400,1080
"LAG3",2,10,4,6,3,9
"CD4",19,218,17,19,69,78
"GPR162",133,99,77,47,89,152
"P3H3",3143,3303,3510,1684,2423,3315
"GNB3",47,33,42,47,79,71
"CDCA3",126,57,80,674,999,158
"USP5",1872,2311,1832,2744,2934,2448
"TPI1",4531,8213,5337,7699,8640,4272
"SPSB2",260,111,192,165,159,220
"LOC105369632",13,16,15,18,22,17
"RPL13P5",45,27,23,45,61,55
"DSTNP2",94,99,83,123,126,109
"LRRC23",149,83,134,81,100,156
"ENO2",415,581,322,529,604,549
"ATN1",151,181,113,247,314,286
"C12orf57",1013,1070,1978,968,1355,1581
"RNU7-1",0,0,0,0,0,0
"PTPN6",3,1,3,3,4,4
"LOC105369634",0,1,0,0,1,0
"MIR200CHG",0,0,0,0,1,0
"MIR200C",0,0,0,0,0,0
"MIR141",0,0,0,0,0,0
"PHB2",2767,2172,3429,2061,2387,3123
"SCARNA12",1518,1176,1732,787,961,1594
"EMG1",499,645,626,674,704,685
"LPCAT3",127,82,139,87,127,169
"C1S",16348,6752,13822,15113,12719,33417
"C1R",12710,6482,12536,13177,16242,34538
"C1RL",1300,498,1405,664,1094,1581
"C1RL-AS1",238,268,242,323,413,470
"RBP5",67,73,58,79,122,144
"CLSTN3",357,220,296,291,359,505
"PEX5",1323,988,1012,803,1043,890
"ACSM4",0,0,0,0,0,0
"CD163L1",25,66,14,132,103,21
"LOC101927882",0,0,0,0,0,0
"CD163",2,3,0,20,7,9
"APOBEC1",0,0,0,0,0,0
"GDF3",0,0,0,0,0,0
"DPPA3",0,0,0,0,0,0
"CLEC4C",0,0,0,0,0,0
"NANOGNB",0,0,0,0,0,0
"NANOG",0,0,0,0,1,0
"SLC2A14",3,9,7,11,8,97
"SLC2A3",930,2612,1578,1600,1725,1809
"FOXJ2",291,257,175,421,505,405
"C3AR1",0,1,0,5,1,1
"NECAP1",476,680,561,560,668,608
"CLEC4A",19,14,13,22,39,41
"POU5F1P3",4,4,2,2,7,7
"ZNF705A",0,0,0,0,0,1
"FAM66C",59,31,47,26,46,87
"FAM90A1",11,7,0,0,3,19
"FAM86FP",56,48,118,23,39,77
"LINC02449",40,30,8,6,13,40
"LOC112268090",6,6,1,1,1,12
"LOC107987171",0,0,0,0,0,3
"LINC00937",0,0,0,0,0,1
"LOC101927966",3,1,1,2,0,5
"CLEC6A",0,0,0,0,0,0
"CLEC4D",0,0,0,0,0,0
"CLEC4E",0,0,0,0,0,0
"LOC105369645",0,0,0,0,0,0
"AICDA",0,3,0,1,1,1
"MFAP5",463,17780,11564,12233,15417,11009
"RIMKLB",843,1525,851,994,1328,1513
"A2ML1",3,0,3,0,1,7
"PHC1",54,37,56,60,77,291
"M6PR",1074,1216,1265,1282,1342,1464
"KLRG1",5,3,14,6,6,9
"LINC00612",1,0,0,0,0,1
"A2M-AS1",2,12,3,3,27,27
"A2M",425,3357,155,164,2304,275
"PZP",0,2,1,0,0,0
"A2MP1",0,0,0,0,0,0
"MIR1244-3",11,30,15,14,11,57
"LINC00987",7,7,10,11,9,7
"LOC642846",14,63,28,39,111,89
"LOC107984489",1,1,2,1,1,3
"LOC105369649",0,0,0,0,0,0
"LINC02367",0,0,0,0,0,0
"LOC101928030",0,0,0,0,0,0
"LOC728715",0,0,1,0,0,1
"LOC105369647",0,0,0,0,1,1
"LOC107987172",0,0,1,0,6,0
"DDX12P",33,67,45,71,130,122
"LOC105376678",1,1,1,2,1,0
"OVOS",6,0,0,0,0,1
"KLRB1",0,1,1,3,2,1
"LOC107987174",1,0,1,0,3,2
"LOC374443",215,104,196,293,318,218
"LOC105369728",0,1,0,0,2,0
"CLEC2D",322,323,395,320,464,638
"LINC02390",0,0,0,0,1,2
"CLECL1",0,0,0,0,0,0
"CD69",0,2,0,1,0,0
"KLRF1",1,0,4,6,2,7
"CLEC2B",1304,236,458,2678,1486,2000
"KLRF2",3,0,1,3,6,5
"CLEC2A",100,38,35,384,159,339
"LINC02470",0,1,0,7,6,18
"CLEC12A-AS1",1,1,0,39,6,13
"CLEC12A",11,7,32,189,66,303
"CLEC1B",2,0,2,25,9,42
"CLEC12B",0,0,0,28,1,45
"LOC102724020",0,0,0,0,0,0
"LOC112268091",0,0,0,0,0,0
"CLEC9A",0,0,0,0,0,0
"CLEC1A",1,1,4,11,9,6
"LOC105369655",0,0,0,0,0,0
"CLEC7A",0,0,1,0,0,0
"OLR1",15,28,39,7,5,5
"TMEM52B",0,2,3,4,1,0
"LOC107984509",0,0,2,0,0,0
"GABARAPL1",1668,1092,1742,2155,1687,1596
"KLRD1",8,21,7,4,7,3
"LOC105369656",3,0,1,1,0,0
"LINC02617",0,0,0,0,2,0
"LOC101928100",0,0,2,2,1,5
"KLRC4-KLRK1",0,0,0,0,0,0
"KLRK1",0,0,0,0,0,0
"KLRC4",0,0,0,0,1,0
"KLRC3",0,0,0,0,0,0
"KLRC2",0,0,0,0,0,0
"KLRC1",0,0,0,0,11,0
"LOC105369657",0,0,0,1,8,0
"EIF2S3B",1538,1146,1317,912,1334,1497
"LOC105369658",0,0,0,1,4,0
"LINC02446",0,0,0,0,2,2
"LOC105376675",0,0,1,0,0,0
"KLRA1P",60,66,47,85,116,67
"MAGOHB",254,321,289,318,424,303
"STYK1",10,32,6,58,34,22
"YBX3",1788,1767,1817,2371,2206,2382
"LOC112268104",3,4,4,14,4,7
"LINC02366",0,0,0,0,0,0
"TAS2R7",1,0,0,0,0,0
"TAS2R8",0,0,1,0,0,1
"TAS2R9",0,0,0,0,1,0
"LOC107984459",51,17,18,38,26,48
"TAS2R10",6,2,3,2,3,7
"PRH1-PRR4",1,1,4,0,0,3
"PRR4",1,1,1,0,1,2
"PRH1",8,22,10,11,11,28
"TAS2R13",4,2,4,4,3,8
"PRH2",7,16,8,15,13,25
"PRH1-TAS2R14",8,17,19,7,15,25
"TAS2R14",0,8,2,3,9,9
"TAS2R50",2,2,3,5,6,10
"TAS2R20",17,29,33,17,26,55
"TAS2R19",14,20,14,8,16,27
"TAS2R31",15,20,17,10,18,41
"TAS2R46",8,7,3,4,3,5
"TAS2R43",4,4,2,6,6,5
"TAS2R30",10,7,5,11,7,13
"SMIM10L1",377,392,450,528,488,429
"TAS2R42",0,0,0,1,0,3
"PRB3",2,2,0,1,2,5
"LOC107987183",10,16,11,9,23,22
"PRB4",0,0,2,1,0,2
"PRB1",0,1,0,1,2,2
"PRB2",0,1,0,0,1,4
"LOC440084",0,0,1,0,1,0
"LINC01252",16,18,12,21,28,44
"ETV6",373,549,473,577,765,505
"BCL2L14",2,2,1,2,8,1
"MIR1244-4",9,12,23,12,12,24
"LRP6",1317,1234,898,1607,1610,1518
"MANSC1",81,36,97,96,82,147
"LOH12CR2",17,7,19,10,18,30
"BORCS5",190,186,226,264,353,250
"LOC107984485",49,24,37,34,46,48
"DUSP16",319,253,234,209,289,283
"LOC107984486",0,0,0,0,0,0
"CREBL2",1543,1127,1584,1476,1612,1844
"GPR19",14,10,5,23,34,11
"CDKN1B",488,531,554,434,513,579
"LOC105369663",8,11,7,20,12,15
"APOLD1",250,317,107,430,527,101
"LOC107984129",6,6,4,16,19,4
"MIR613",1,1,0,0,0,0
"DDX47",1093,1260,1458,970,1072,1021
"LOC107984492",7,6,4,6,6,8
"LOC112267864",0,0,0,1,1,0
"RPL13AP20",44,25,134,43,25,613
"GPRC5A",51,19,80,57,38,7
"MIR614",3,1,2,1,1,1
"GPRC5D-AS1",9,20,8,12,31,9
"GPRC5D",0,1,1,0,1,0
"HEBP1",177,317,210,238,227,206
"HTR7P1",149,195,292,344,173,208
"FAM234B",169,156,196,155,168,196
"GSG1",27,4,35,35,15,19
"LOC105369666",0,1,2,8,8,1
"LOC105369665",0,0,0,0,0,0
"EMP1",9430,10706,13182,16647,12261,12674
"LINC01559",1,1,2,1,1,1
"GRIN2B",6,0,1,3,3,2
"LOC105369668",0,0,0,1,1,0
"LOC105369667",0,0,0,0,0,0
"ATF7IP",1249,1067,1076,1754,1855,1559
"PLBD1",9,14,11,17,93,126
"LOC101928317",1,0,0,0,0,0
"PLBD1-AS1",0,0,0,0,0,0
"C12orf60",17,20,28,31,21,21
"GUCY2C",0,0,1,1,4,9
"LOC105369669",18,13,11,23,17,19
"HIST4H4",265,339,448,249,301,312
"H2AFJ",545,969,990,705,611,691
"WBP11",403,192,223,715,967,479
"SMCO3",0,1,0,4,8,4
"ART4",0,0,3,2,5,3
"MGP",2,34,9,10,229,86
"ERP27",0,0,0,0,0,0
"ARHGDIB",63,86,4,103,99,22
"LOC105369670",0,0,0,0,0,0
"PDE6H",0,0,0,0,0,0
"LINC01489",0,0,0,0,0,0
"LOC107984506",0,0,0,0,0,0
"RERG",0,11,0,0,25,0
"RERG-AS1",0,0,0,0,0,0
"PTPRO",5,4,1,4,5,12
"LOC105369673",0,0,0,0,0,0
"LOC105369672",2,1,1,0,3,1
"EPS8",2640,4408,2424,2821,3064,2567
"LOC102724146",2,1,1,4,4,2
"STRAP",1489,1709,1570,2057,2206,1569
"DERA",601,582,797,704,853,653
"LOC101928362",1,0,0,3,1,0
"SLC15A5",0,0,1,0,0,0
"MGST1",856,338,1194,1067,1054,1836
"LOC107984494",35,14,31,31,36,61
"LMO3",4,5,10,6,6,44
"LOC105369677",0,0,0,0,0,2
"SKP1P2",154,105,246,153,153,198
"LINC02378",0,0,0,0,0,0
"MIR3974",0,0,0,0,0,0
"RERGL",0,0,0,0,1,0
"PIK3C2G",0,0,0,1,0,1
"PLCZ1",1,0,0,1,4,1
"CAPZA3",0,0,0,0,0,0
"LOC102724227",1,1,0,1,4,0
"LOC107984527",0,0,0,0,0,0
"PLEKHA5",1167,1273,934,862,1124,934
"LOC112268092",9,15,13,23,12,12
"AEBP2",491,790,465,371,541,517
"LOC101928387",9,13,5,20,12,7
"LOC105369682",1,0,0,2,0,0
"LINC02398",1,0,0,0,0,0
"LOC105369685",0,0,0,0,0,0
"LINC02468",0,1,0,0,0,0
"LOC105369686",0,0,0,0,0,0
"LOC105369687",0,0,0,0,0,0
"LOC105369688",0,1,0,0,0,0
"PDE3A",126,1135,8,58,61,59
"SLCO1C1",4,21,0,0,2,0
"SLCO1B3",0,0,0,0,0,0
"SLCO1B7",0,0,0,0,0,0
"SLCO1B1",0,0,0,0,0,0
"SLCO1A2",0,0,0,0,0,0
"IAPP",0,0,0,0,0,0
"PYROXD1",175,270,164,256,260,281
"RECQL",1443,2048,1318,2247,2548,1671
"GOLT1B",1355,1834,1999,1609,2193,1584
"SPX",0,1,0,0,0,0
