# Program:featureCounts v2.0.2; Command:"/mnt/md127/bio-tools/featureCounts/subread-2.0.2-source/bin/featureCounts" "-T" "32" "-p" "-g" "gene_id" "-a" "/mnt/archive/Karol_organized_2020/NGSprint/genome/hg38.refGene.gtf" "-o" "FeatureCounts_all_reads.txt" "SRR6078274.sorted.bam" "SRR6078275.subread.sorted.bam" "SRR6078276.sorted.bam" "SRR6078291.subread.sorted.bam" "SRR6078292.sorted.bam" "SRR6078293.sorted.bam" 
Geneid	SRR6078274.sorted.bam	SRR6078275.subread.sorted.bam	SRR6078276.sorted.bam	SRR6078291.subread.sorted.bam	SRR6078292.sorted.bam	SRR6078293.sorted.bam
FAM170B	0	2	0	0	0	0
C5orf63	117	83	67	104	49	115
TEK	430	264	65	520	74	1528
IRS2	1962	1704	2653	8246	5431	2814
BOP1	991	1501	1502	1278	1081	1501
EXOC6B	1281	2210	1208	1835	1225	2588
C19orf18	26	19	14	22	32	12
C4B	0	0	0	0	0	0
CDHR5	20	39	20	56	70	52
INPP5B	2010	2189	1616	1919	2038	1429
GLT1D1	0	0	2	6	2	0
LINC01134	7	6	7	25	4	21
LINC01346	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0
TACC2	123	312	160	146	126	281
SHOX2	1096	1623	1392	1810	1075	1694
MIR4689	0	2	0	3	0	0
NANOGNB	0	0	0	1	0	0
EXOG	513	691	497	832	535	876
ZNF195	360	620	487	603	496	749
ERICH4	0	0	0	0	0	0
NDRG4	169	505	41	111	185	750
VRK2	557	805	607	453	453	984
CELF2	4055	149	496	668	1093	3599
SEC11C	168	211	288	347	149	242
ARID3B	74	123	67	127	106	143
POF1B	0	0	0	2	0	0
KIR2DL2	0	0	0	0	0	0
LCMT2	500	546	418	585	447	588
JAKMIP2	0	1	0	4	52	0
TRIM14	119	365	283	183	78	90
ARHGEF17	3833	7213	4831	8297	6629	4506
ARHGEF11	3356	4191	2978	3623	2927	4769
LOC102724450	2	10	7	4	10	9
AIFM3	27	42	15	21	14	17
IL24	4	2	0	5	2	19
SGCZ	4	0	0	0	0	8
DMTN	4	9	2	9	183	8
CYTL1	80	22	0	32	218	127
KCNJ16	0	0	0	0	0	0
LENEP	4	4	4	5	7	2
MIR4252	0	0	0	0	0	0
ZNF398	978	1182	975	1020	904	1079
PNISR	4161	5882	3622	4286	4449	4232
ALPK3	10	4	4	16	22	4
ALKBH6	264	290	168	269	295	389
CTNND1	167	262	131	204	210	227
BCL2L13	3161	3689	2485	4529	3374	4145
DMD	326	276	482	1014	1271	186
MUC4	0	4	0	0	13	2
FSCN2	48	69	41	134	218	23
EIF4G1	16520	25230	15402	21193	18580	29644
PPP2R5E	1646	1797	1616	1831	1499	1942
NAA16	643	548	613	570	496	704
KIR2DS2	0	0	0	0	0	0
GPS2	1328	1462	1181	1524	1134	1550
THAP3	548	503	413	532	514	520
DLC1	7545	12873	5557	8839	18739	10598
CAMTA1-DT	2	7	6	6	4	6
SORBS1	56	18	6	280	196	54
STK31	0	0	0	0	0	4
CD160	17	29	6	11	14	25
DUX4	0	0	0	0	0	0
ZNRD1	521	582	743	392	334	312
KIR3DS1	0	0	0	0	0	0
RHEBL1	26	19	40	26	28	84
RPL10	16167	9978	18482	6658	8784	6798
ANK2	5421	3908	1895	5356	4541	11159
ROBO4	39	3	13	13	8	25
TSEN2	366	333	343	412	266	296
USP30	373	559	363	572	475	574
KDM6A	1334	1804	1163	1011	840	1047
USHBP1	0	0	0	9	0	0
PRH1	20	10	22	55	22	21
EVX1	0	0	0	0	0	0
SLC8A1	2890	2679	6221	2984	2707	1143
RCC1	2239	2285	2784	1520	1296	1802
GMPR2	2583	2824	2115	2369	1812	1770
MMS22L	540	740	690	470	522	1726
SNX14	4307	4683	3732	3317	3159	3902
STXBP6	528	910	701	150	30	681
TMCC1	863	1021	657	1439	1224	1116
TMEM94	750	1413	694	1506	1217	1421
LINC01714	0	0	0	0	0	0
HNRNPUL2	743	1098	848	944	875	1189
OR52B6	0	0	0	0	0	2
OR52B4	0	0	0	0	0	0
MCC	1488	1892	558	1644	1369	2592
IYD	0	1	0	0	0	0
GNB1	11867	12874	9854	13458	12429	15619
SLC25A36	2158	2101	1789	2489	2482	2298
RERE-AS1	7	5	2	2	4	7
SNORD128	0	0	0	0	0	0
ANGEL2	1535	1887	1470	1674	1407	1654
MIR6728	0	3	1	3	0	8
ENO1-AS1	27	18	14	18	23	20
TMEM51	13	94	39	8	16	83
CD300LD	0	0	0	0	0	0
GRAMD1A	671	1241	853	905	1032	974
HSPB11	411	478	468	257	183	676
RHD	0	35	18	39	18	19
IER5	2080	2828	2095	2738	1803	3508
DNAJC27	335	307	213	397	384	370
STK26	108	54	579	110	117	115
GNG13	0	2	0	1	3	7
SIRT6	276	372	358	413	389	416
GPR83	0	0	1	2	2	10
MIR34AHG	942	1028	938	1714	898	982
TRIM73	0	0	0	0	0	0
UBE3D	161	209	230	239	193	249
LINC02606	74	63	44	143	75	59
PIK3CD-AS1	2	6	0	0	0	1
PIK3CD-AS2	71	116	106	130	109	29
TEX264	1726	1616	1419	1714	1050	1666
LETMD1	1699	1390	1630	1475	1321	1257
GLRX	946	841	453	428	430	786
CD2BP2	3052	3336	2598	3271	2756	3177
CFL2	4185	8213	3918	4158	5926	7854
IL15RA	296	240	150	136	223	393
CEP295NL	37	24	18	41	27	46
DPYS	13	6	4	22	2	0
SPDYE11	0	0	0	0	0	0
PCM1	6656	8287	6337	7161	4919	10191
RNF39	35	92	63	58	41	33
TMEM274P	6	0	1	2	3	1
MIR5697	0	1	0	1	0	0
ZCCHC8	918	1036	777	877	1121	876
HLA-F	523	789	668	551	578	443
INTS11	1791	2394	1657	1632	1854	2291
POU4F3	4	2	0	8	2	2
GRIP1	0	2	1	8	3	6
JAKMIP3	65	37	58	193	29	26
SPRYD3	1267	1749	1025	1439	1147	2862
SRP19	1308	1624	1300	1814	1583	1634
FAM104A	1434	1626	1214	1766	1560	1543
OAS1	32	12	23	38	6	33
BTNL2	1	0	0	1	0	2
WDR4	267	314	311	384	369	406
MESP1	15	15	16	22	4	4
RNU6-1	0	0	0	0	0	0
RNU6-9	0	0	0	0	0	0
RNU6-7	0	0	0	0	0	0
RNU6-8	0	0	0	0	0	0
RNU6-2	0	0	0	0	0	0
DUSP26	2	0	0	6	2	0
PLK5	0	9	0	8	2	0
CORO2B	410	799	417	2372	2103	1489
SH3BP5L	2142	2215	2294	2318	3279	3027
MAPKAPK5	1150	1295	1139	1373	1233	1230
RCHY1	480	612	499	685	541	494
KIR2DL5A	0	0	0	0	0	0
PIGQ	1434	1493	1063	1727	1249	1510
ESCO1	915	1134	816	1110	938	986
CBLB	1444	1632	1172	1983	1479	2858
SPINK4	0	1	0	2	4	0
GPR63	6	2	10	61	49	16
CLPTM1L	3822	4013	3246	5652	3821	6928
EXOSC10-AS1	4	6	4	9	2	12
IQCE	1415	1896	1139	1841	1164	1891
TBC1D3D	0	0	0	0	0	0
FAM83A	0	0	0	0	2	0
SCN1B	163	300	285	99	80	146
MTOR-AS1	2	4	3	11	7	3
LBP	0	0	0	0	0	4
UBE3A	4350	5374	4259	4445	4757	4715
LINC01647	0	0	1	0	0	0
ALDH3A2	4423	3020	2116	3817	1519	4590
SMPD3	56	90	46	60	37	43
USP15	2275	2716	1968	2502	1976	2819
ZNF587	1064	1644	1176	1555	1181	1844
ADD3	12033	11625	4835	6914	3825	11813
FBXO44	596	750	501	658	454	524
CAD	3152	4918	3785	3543	2433	4120
DGAT1	655	724	563	767	671	586
PUDP	503	671	399	168	168	356
ATP1B4	0	0	0	0	0	0
HOXA5	60	45	96	36	8	41
APOM	77	92	46	41	62	61
METTL6	786	764	704	754	718	912
KYAT1	183	258	177	218	204	309
PRSS21	2	0	0	0	2	0
SYNPR	0	0	0	2	0	0
POMZP3	64	54	82	206	36	177
CYFIP2	170	63	58	145	310	216
CLCN6	472	710	550	1067	814	976
NPPA-AS1	8	13	4	24	8	4
PPIP5K1	261	434	242	303	208	258
RNU5E-1	21	34	31	29	5	89
GAGE6	0	0	0	0	0	0
TAF1B	1266	1580	754	831	670	1426
GLIS2	400	443	292	935	597	483
CTNS	1132	1137	1006	1595	1009	1356
CTH	169	158	166	169	340	71
FCER2	1	0	0	0	0	0
VPS8	2470	3496	2391	2841	2298	3000
MIR6729	0	0	0	0	2	1
MIR7846	0	0	0	0	0	0
MIR4632	0	0	1	0	0	0
GUCY1A1	22	38	231	46	416	107
SIPA1L1	2366	4702	2161	2865	4533	2510
ESRP2	4	13	11	16	5	12
CFAP70	66	29	42	83	51	34
CPEB1	192	228	247	218	186	689
SNORA59B	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0
SPHK2	368	471	375	705	413	522
MIR6730	2	2	4	1	2	3
IRF3	1268	1507	1282	1262	1026	1452
BRWD1	4281	4916	3591	5088	6356	5779
THAP8	177	288	193	222	249	282
TMEM91	170	256	146	124	134	188
PRAMEF1	0	0	0	0	0	2
LINC01784	0	0	0	0	0	0
MFSD11	961	1071	867	1367	959	1553
AFF2	335	365	649	382	179	544
SS18L1	635	679	555	773	941	850
PRAMEF36P	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0
NFKB2	651	1363	662	761	1083	1434
TBC1D3E	0	0	0	0	0	0
MAGEA4	0	0	0	0	0	0
POLD2	2023	2364	2215	976	1093	3429
ZNF562	1414	1734	1311	1658	1274	1778
MTHFD1L	4492	4417	3135	4411	4943	4400
GLMN	312	387	253	299	256	509
C15orf40	594	456	471	821	613	527
CYB5D1	611	687	462	761	395	1049
DENND3	665	816	404	553	307	735
KAZN-AS1	0	0	0	3	0	0
ZNF628	123	223	93	232	192	150
RRP36	1477	1730	1360	1941	1389	2119
OR52R1	0	0	0	0	0	0
PTPRR	6	14	30	22	8	34
OR52K2	0	0	0	0	0	0
TMEM51-AS1	0	4	4	3	0	2
MTMR9	1512	1782	1360	1612	1879	2033
FXYD6	0	0	0	2	0	1
C1orf195	0	0	0	0	2	0
SLC5A11	0	5	3	4	2	2
PRMT7	879	1088	911	836	614	1231
HSPA12A	934	1583	798	1046	867	1756
RIMS2	20	101	300	190	37	149
DNAJC16	1507	1881	1249	1774	1487	1798
SCARNA21B	0	0	4	2	2	0
CBFB	2089	2416	2040	2569	2549	4551
CCL4L2	0	0	0	0	0	0
SLC25A34-AS1	1	6	0	4	2	4
ZNF532	2731	4400	2551	3608	3021	3605
ZNF333	852	1120	684	871	999	946
CNTN6	2	0	6	10	0	0
FLJ37453	102	82	96	140	127	98
ZEB1	8351	13761	8853	8382	6157	16408
KLRD1	13	3	9	9	6	12
KLRC3	0	0	0	0	0	0
DTNA	203	200	204	224	168	930
ABLIM1	197	305	300	981	499	217
PAN3	1425	1677	1352	1356	1122	1881
IP6K2	1682	1691	1601	1519	1386	1847
ZNF200	328	345	275	371	302	431
FCMR	18	7	8	33	10	23
MYO19	983	1492	1314	1166	1046	2029
ATP6V0A1	824	1210	709	1487	1314	2252
PACC1	328	284	284	377	358	405
HLA-DQB2	0	0	0	0	5	0
TPTE2	4	0	1	0	5	1
RCN2	3691	3378	2957	3772	2679	4343
CAPZA3	0	0	0	0	0	0
SOX6	2	1	4	26	100	22
SMDT1	394	428	479	355	246	313
CHURC1	3054	2048	1583	2540	2019	2038
C22orf23	410	485	319	623	978	561
KIF2B	0	0	0	0	0	0
ASH1L	3200	4878	3126	4674	4033	5430
ZNF561	1054	1209	911	1524	1124	1001
C1orf158	32	8	2	0	2	11
PKIB	3	3	12	10	31	11
SREK1	2347	3811	2353	3507	2836	3502
PET100	270	214	178	288	254	316
SPATA21	5	3	2	6	10	3
TAFA4	0	0	0	0	0	0
ZSWIM2	2	15	4	5	2	0
ZNF454	77	46	31	157	80	77
NECAP2	3352	3804	3058	3903	3124	4414
LINC01772	33	61	45	69	78	81
CROCCP3	225	273	223	282	240	353
RNVU1-18	0	0	0	0	0	0
RNU1-3	0	0	0	0	0	0
RNU1-4	0	0	0	0	0	0
RNU1-2	0	0	0	0	0	0
RNU1-1	0	0	0	0	0	0
LINC01783	2	8	6	5	13	21
MIR3675	0	0	0	0	0	0
ADAMTS4	247	643	340	650	988	1084
IMPA1	816	1002	827	693	750	1568
IFI27	37	12	6	124	445	74
CROCCP2	400	607	402	556	587	730
MST1P2	74	38	91	197	116	74
ESPNP	0	0	0	0	0	0
LOC105376805	92	85	65	60	40	46
DOCK5	3193	6091	2840	4033	4880	6162
STX7	3631	3773	3065	4718	4589	5820
ZDHHC21	1019	2406	844	1455	1742	2315
TJP1	3480	5609	3353	5006	3816	4921
SNORD73B	4	3	0	5	7	9
MIR3972	0	0	0	0	0	0
GOLGA8T	2	10	4	11	15	13
OR12D2	0	0	0	0	0	0
RPS18	20568	18081	26724	14400	13235	14665
CDKN2A	154	226	154	347	261	308
KCNJ12	162	117	48	30	91	117
PRPF31	1666	2125	1671	2004	1563	2336
CYP20A1	2662	3109	2562	2899	2334	2188
MS4A14	0	0	0	0	0	0
ABCF1	2599	4000	2546	3315	3041	4821
CLTB	2405	2354	1674	3562	2318	2827
KDM4B	2163	2562	1563	2402	2948	1812
ASB13	634	749	643	997	833	722
CALHM2	2244	2347	2006	1432	1023	1823
ARHGEF10L	2077	2032	1309	2347	2207	2818
LINC01654	0	0	0	0	0	0
FAM168B	6532	7667	5368	8674	8052	9632
ODR4	1139	1056	963	1609	1240	1535
SLC48A1	967	900	538	1657	836	768
SPDEF	4	4	0	0	2	0
PLA2G2D	0	0	0	0	0	0
MIR4695	0	0	0	0	0	0
PRXL2B	308	476	348	326	312	715
FUZ	457	481	406	531	300	396
ZNF536	336	368	377	545	866	1050
LARP4	2433	3064	2277	2980	2798	3360
USP19	2835	3405	2433	2925	2627	3234
EMC1-AS1	22	27	7	31	29	20
CRP	2	2	2	0	0	0
CD79B	6	6	2	0	0	10
TGFBRAP1	1114	1801	1460	2121	1646	1716
SNRPE	414	436	578	376	299	618
TNR	0	0	0	0	0	0
DDX39B	0	0	0	0	0	0
SYT17	0	0	2	2	2	2
HMBOX1	417	461	398	701	638	654
AKR7L	22	19	17	18	38	48
GPM6A	2	0	0	2	6	0
PEX5L	10	13	4	19	10	34
LOC100506730	81	149	65	72	73	141
HERC4	5523	7194	4964	3833	3367	8939
GOLGA8R	39	50	36	61	64	49
ACBD5	1431	1742	1387	1579	1403	2192
VAMP7	2565	2920	2099	2968	2565	3465
GPANK1	618	553	623	698	497	760
DMAC2	913	1065	700	987	741	1113
LOC105378614	0	0	0	0	0	0
MICOS10	652	820	600	743	651	1090
LINC00339	388	391	481	602	389	586
TCHHL1	0	0	0	0	0	0
NOL11	1592	1686	1553	1433	1302	1600
RPS14P3	449	213	387	234	206	167
ZNF33A	1051	1267	1093	1012	505	868
RPL28	11150	13500	12988	7753	6891	10243
TIMM10	506	468	415	423	369	672
CD36	83	31	34	84	34	263
MARCHF1	162	189	121	348	247	126
NPLOC4	4707	5893	4325	6948	7359	6850
PHACTR4	209	370	272	489	441	560
TMCO4	1025	1202	630	778	453	1232
TBXT	0	0	0	0	0	0
RPL3	44040	39049	47314	27435	25628	22760
ZNF414	95	202	97	127	110	118
PAAF1	335	388	336	216	366	531
ZC3H14	2953	3325	2761	3213	2971	3365
ZBTB8OS	600	607	533	897	725	729
GRB7	4	2	2	0	4	5
UBXN10-AS1	0	0	0	0	0	0
LINC01757	0	0	0	0	0	0
LINC01141	0	0	0	0	0	0
MIR6084	0	0	0	0	0	0
PINK1-AS	261	295	334	285	274	317
PHB	2869	3173	2735	2874	2369	4467
PGM1	4334	3632	2624	6485	4593	4291
TMEM259	3611	3935	3505	4648	4208	3132
RHNO1	892	881	904	1058	837	1524
KIR3DL1	0	0	0	0	0	0
GTF2H2	1	1	0	0	1	2
HLA-DOB	20	0	0	0	3	4
C1orf43	5275	5915	4903	5454	5187	4774
ATP7B	166	199	234	455	269	240
CERS3	0	0	0	0	0	0
OR10Q1	0	0	0	0	0	0
OR10J5	0	0	0	2	0	0
ZMAT5	348	389	356	383	294	454
OR11H6	0	0	0	0	0	0
NIFK-AS1	85	112	95	124	88	152
ABHD16A	1766	1628	1233	1490	916	1445
SLC14A2	14	3	5	66	23	8
MIR1256	0	0	0	0	0	0
ASCC1	1190	978	989	1083	1103	943
ANXA8	0	2	0	4	0	5
ODF2L	1031	1562	1089	1757	1309	2378
SULT1C3	2	1	0	2	1	0
OSBPL2	1876	2279	1420	2407	2512	2382
CHODL	4	7	2	0	0	35
KCTD10	4529	7048	4012	6680	6801	7759
POGLUT1	712	1048	795	1120	803	808
ORC6	157	134	245	81	90	859
GNMT	0	0	4	2	2	2
BBS9	883	1214	776	1281	849	1316
PRRT3	216	243	152	280	131	231
NLGN4Y	0	2	0	1419	1230	1931
FBXO21	2111	2333	1801	2036	1615	2391
CSF2RA	4	2	0	0	0	0
COBLL1	240	270	100	1070	717	365
FILIP1L	1524	2511	963	3032	5208	1453
ENTPD1	666	753	747	921	720	800
DDR1	979	1036	826	1380	1329	499
KIR2DS4	0	0	0	0	0	0
ANKRD30B	54	49	56	9	46	4
SUCLG2	2242	2392	2124	1350	1382	2445
ACHE	5	1	2	4	2	3
DDO	18	16	0	2	9	1
IRF7	327	374	325	372	262	221
ZNF90	29	71	41	42	27	149
FCGR2A	6	2	0	2	0	0
TAF15	489	921	542	783	916	861
ZNF174	287	385	269	305	276	375
NHEJ1	512	728	591	381	219	405
PIP4K2C	346	718	391	867	575	330
PEAK1	7862	11376	5796	12918	10419	9447
EPS8L1	16	29	19	27	29	27
EFCC1	0	0	0	0	0	1
ZNF552	147	92	110	209	207	152
AGMAT	49	110	82	66	57	82
EHMT1	1983	2604	1992	2334	2293	2437
MMRN2	72	85	86	36	20	70
VASH2	10	17	14	8	11	32
LINC01635	12	4	16	11	15	13
BCAP29	39	76	27	40	61	82
SENP1	783	919	766	1113	886	1147
MIR4418	0	0	0	0	0	0
SUN1	8720	8549	5003	5782	5134	7544
ADAL	459	622	248	494	454	612
KMT5A	1630	1883	1724	1794	2102	2484
ZBTB40	1578	2082	1705	2445	1671	1981
IGSF11	0	6	0	0	0	2
MIR6127	0	0	0	0	0	0
TUBB	20505	35905	25983	21480	22593	79481
CALCOCO1	5965	5595	4105	5829	4844	4807
FLRT3	127	67	202	136	231	121
HCN3	172	180	158	200	101	174
MARCHF6	5587	5367	5064	6797	5961	5556
BASP1	3514	3474	2227	3010	2958	5202
PCGF3	2161	2743	2138	3458	3688	3356
CNKSR1	2	8	1	10	6	7
MIR4684	0	0	0	0	0	0
MIR4253	0	0	0	0	0	0
GCK	37	66	46	17	28	8
LPGAT1	4157	4827	3604	6094	5299	4754
RNF10	5057	5991	4176	5701	4877	6490
KBTBD11	797	1472	693	889	1139	629
SEC16A	2460	5768	2580	4126	5107	4904
MIR3115	1	1	0	0	0	1
MIR5692A1	0	0	0	0	0	0
IKBKB	1671	2129	1380	1550	1573	2173
MIR5196	0	0	0	0	0	0
MIR5195	0	0	0	0	0	0
PSME3	1144	1816	1245	1655	1541	2712
FIGNL1	575	654	457	585	376	1537
CIB2	175	188	235	171	157	113
AAGAB	2224	2205	1643	1883	1740	2476
ASAP1	1517	3897	2099	2972	3209	3796
WDR83OS	2824	2746	2566	3032	2301	2579
ZNF436-AS1	116	406	66	159	87	150
GPSM1	2205	3062	2635	3678	2425	2696
PACSIN2	1816	2255	1319	1737	1810	2937
NCLN	1833	3335	2432	3179	2362	5079
LOC101928163	0	0	0	0	0	4
COA7	966	1131	1037	1032	829	1168
ACSL4	4898	5697	3928	3943	4791	7833
TRPC7	2	0	0	0	0	0
ELOA-AS1	31	29	23	26	25	41
GSN	16372	25718	12872	16780	15039	17698
SRRM1	896	1367	891	1310	1096	1697
RAPGEF2	1836	3473	2244	3107	2270	3876
SGCD	9288	10788	7492	20567	23958	7339
MIR378F	0	0	0	0	0	0
ST7	196	346	225	203	419	384
SEPTIN9	14758	24212	13688	9625	10005	32149
TRIM64B	0	0	0	0	0	0
